STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,CRITERIA,Classification criteria,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,MEASURE,Measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base year
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,KOR,Korea,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,11914575000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,KOR,Korea,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,39873978000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,DEU,Germany,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,1871030000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,DEU,Germany,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,9034391000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,FRA,France,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,3904634000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,FRA,France,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,1256248000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,TWN,Chinese Taipei,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,540389030365,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,TWN,Chinese Taipei,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,401800777093,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,JPN,Japan,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,2424810000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,JPN,Japan,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,1096429000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,USA,United States,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,104948000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,USA,United States,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,49934000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,CHN,China (People’s Republic of),A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,389106068000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,KOR,Korea,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2019,,9224359000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,KOR,Korea,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2019,,36305437000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,DEU,Germany,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2019,,1831500000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,DEU,Germany,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2019,,8721300000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,TWN,Chinese Taipei,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2019,,400723970384,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,TWN,Chinese Taipei,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2019,,279551838573,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,JPN,Japan,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2019,,2654761000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,JPN,Japan,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2019,,806661000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,USA,United States,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2019,,87128000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,USA,United States,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2019,,35096000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,CHN,China (People’s Republic of),A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2019,,267716906000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,KOR,Korea,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2020,,36468472000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,KOR,Korea,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2020,,9930197000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,TWN,Chinese Taipei,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2020,,324053313267,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,TWN,Chinese Taipei,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2020,,453548381235,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,JPN,Japan,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2020,,1155721000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,JPN,Japan,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2020,,2884202000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,DEU,Germany,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2020,,8657000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,USA,United States,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2020,,43952000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,USA,United States,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2020,,100980000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,CHN,China (People’s Republic of),A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2020,,320886783000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,USA,United States,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2018,,31331000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,USA,United States,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2018,,85489000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,CHN,China (People’s Republic of),A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2018,,250311903000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,DEU,Germany,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2018,,8280600000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,DEU,Germany,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2018,,1693200000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,JPN,Japan,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2018,,852288000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,JPN,Japan,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2018,,2769757000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,TWN,Chinese Taipei,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2018,,252263351747,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,TWN,Chinese Taipei,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2018,,364288955948,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,KOR,Korea,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2018,,35559551000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,KOR,Korea,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2018,,9011165000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,GBR,United Kingdom,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2022,,1800930000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,USA,United States,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2022,,51558000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,USA,United States,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2022,,107469000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,CHN,China (People’s Republic of),A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2022,,445402612000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,JPN,Japan,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2022,,1231097000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,JPN,Japan,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2022,,2404024000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,TWN,Chinese Taipei,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2022,,456153424458,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,TWN,Chinese Taipei,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2022,,608727045478,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,KOR,Korea,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2022,,44251785600000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,KOR,Korea,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2022,,13590656300000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,FRA,France,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2018,,1063461363,,E,Estimated value,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,FRA,France,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2018,,3733807821,,E,Estimated value,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,FRA,France,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2020,,1239678432,,E,Estimated value,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,FRA,France,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2020,,3954629692,,E,Estimated value,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,FRA,France,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2019,,3912889506,,E,Estimated value,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,FRA,France,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2019,,1165522934,,E,Estimated value,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,DEU,Germany,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2020,,1822872206,,E,Estimated value,0,Units,0,Zero,,
